Rotor 1 : vbmrotor_1
Iteration, Elapsed Time, Thrust [N], Torque [Nm], Power [W], Roll_Moment [Nm], Pitch_Moment [Nm], X_Force [N], Y_Force [N]
110, 0, 25.24884, -7.227015, 578.1612, 2.912834e-06, -1.292997e-05, -0.0001019359, 8.428589e-05
111, 0, 25.24884, -7.227016, 578.1613, 3.107127e-06, -1.479461e-05, -0.0001011071, 9.105773e-05
112, 0, 25.24885, -7.227018, 578.1614, 3.16056e-06, -1.658381e-05, -0.0001007491, 9.743857e-05
113, 0, 25.24886, -7.22702, 578.1616, 3.267005e-06, -1.830201e-05, -9.936098e-05, 0.0001042775
114, 0, 25.24886, -7.227022, 578.1618, 3.141106e-06, -1.968913e-05, -9.973908e-05, 0.0001085694
115, 0, 25.24887, -7.227024, 578.1619, 3.583781e-06, -2.123501e-05, -9.67888e-05, 0.0001154304
116, 0, 25.24888, -7.227026, 578.1621, 3.865041e-06, -2.290769e-05, -9.454227e-05, 0.000122723
117, 0, 25.24889, -7.227028, 578.1622, 4.213346e-06, -2.461645e-05, -9.144513e-05, 0.0001309169
118, 0, 25.2489, -7.22703, 578.1624, 4.410627e-06, -2.623435e-05, -8.909677e-05, 0.0001386804
119, 0, 25.24891, -7.227033, 578.1626, 4.476206e-06, -2.745728e-05, -8.776656e-05, 0.000143737
120, 0, 25.24891, -7.227035, 578.1628, 4.717739e-06, -2.891722e-05, -8.529644e-05, 0.0001510396
121, 0, 25.24892, -7.227037, 578.163, 4.662332e-06, -3.035788e-05, -8.445767e-05, 0.0001579222
122, 0, 25.24893, -7.22704, 578.1632, 4.597945e-06, -3.175421e-05, -8.36367e-05, 0.0001646975
123, 0, 25.24894, -7.227042, 578.1634, 4.418423e-06, -3.310119e-05, -8.357574e-05, 0.0001710082
124, 0, 25.24895, -7.227044, 578.1636, 4.124311e-06, -3.421449e-05, -8.440656e-05, 0.0001754061
125, 0, 25.24896, -7.227046, 578.1637, 3.847918e-06, -3.539028e-05, -8.504281e-05, 0.0001807849
126, 0, 25.24896, -7.227048, 578.1639, 3.403181e-06, -3.649524e-05, -8.664589e-05, 0.0001855224
127, 0, 25.24897, -7.22705, 578.164, 2.998815e-06, -3.748091e-05, -8.804106e-05, 0.0001897809
128, 0, 25.24898, -7.227052, 578.1642, 2.582601e-06, -3.837516e-05, -8.964713e-05, 0.000193438
129, 0, 25.24899, -7.227054, 578.1643, 2.107402e-06, -3.913278e-05, -9.177909e-05, 0.0001960252
130, 0, 25.24899, -7.227056, 578.1645, 1.605796e-06, -3.98021e-05, -9.419797e-05, 0.0001979898
131, 0, 25.249, -7.227058, 578.1646, 1.024276e-06, -4.046485e-05, -9.70143e-05, 0.0002001793
132, 0, 25.24901, -7.22706, 578.1648, 3.140176e-07, -4.106258e-05, -0.0001005004, 0.0002020396
133, 0, 25.24902, -7.227062, 578.1649, -4.654473e-07, -4.160965e-05, -0.0001043186, 0.0002038139
134, 0, 25.24902, -7.227063, 578.1651, -1.229545e-06, -4.204392e-05, -0.0001083223, 0.0002050873
135, 0, 25.24903, -7.227065, 578.1652, -2.120742e-06, -4.246619e-05, -0.0001128669, 0.0002064626
136, 0, 25.24903, -7.227066, 578.1653, -3.15307e-06, -4.284942e-05, -0.0001181488, 0.0002077689
137, 0, 25.24904, -7.227068, 578.1654, -4.331951e-06, -4.319494e-05, -0.000124222, 0.0002090079
138, 0, 25.24904, -7.227069, 578.1655, -5.604132e-06, -4.36277e-05, -0.0001306864, 0.0002110568
139, 0, 25.24905, -7.22707, 578.1656, -7.367156e-06, -4.369756e-05, -0.0001394969, 0.0002116243
140, 0, 25.24905, -7.227071, 578.1657, -9.569998e-06, -4.328745e-05, -0.0001502871, 0.0002107076
141, 0, 25.24906, -7.227072, 578.1658, -1.191489e-05, -4.291964e-05, -0.0001622512, 0.0002099943
142, 0, 25.24906, -7.227073, 578.1659, -1.456847e-05, -4.264002e-05, -0.0001758788, 0.0002098308
143, 0, 25.24906, -7.227073, 578.1659, -1.741849e-05, -4.239914e-05, -0.0001904899, 0.0002101517
144, 0, 25.24906, -7.227073, 578.1659, -2.053698e-05, -4.230439e-05, -0.0002065112, 0.0002115431
145, 0, 25.24906, -7.227072, 578.1658, -2.398842e-05, -4.22832e-05, -0.0002241952, 0.0002136515
146, 0, 25.24906, -7.227072, 578.1658, -2.709947e-05, -4.206224e-05, -0.0002399433, 0.0002147827
147, 0, 25.24905, -7.227072, 578.1657, -3.021137e-05, -4.203307e-05, -0.0002553775, 0.0002165921
148, 0, 25.24905, -7.227071, 578.1656, -3.374154e-05, -4.225446e-05, -0.0002727245, 0.0002196816
149, 0, 25.24905, -7.227071, 578.1657, -3.621767e-05, -4.214336e-05, -0.0002845935, 0.000220527
150, 0, 25.24905, -7.227071, 578.1657, -3.805855e-05, -4.183165e-05, -0.0002945157, 0.0002208287
151, 0, 25.24906, -7.227072, 578.1658, -3.983978e-05, -4.167684e-05, -0.0003042019, 0.0002215818
152, 0, 25.24906, -7.227074, 578.1659, -4.095814e-05, -4.11563e-05, -0.0003095622, 0.0002199693
153, 0, 25.24907, -7.227076, 578.1661, -4.141251e-05, -4.052474e-05, -0.0003107768, 0.0002170843
154, 0, 25.24908, -7.227079, 578.1663, -4.064663e-05, -3.937566e-05, -0.0003072222, 0.0002119625
155, 0, 25.24911, -7.227086, 578.1669, -3.695079e-05, -3.660561e-05, -0.0002921861, 0.0001998474
156, 0, 25.24913, -7.227091, 578.1673, -3.424057e-05, -3.546207e-05, -0.0002800828, 0.000192934
157, 0, 25.24914, -7.227095, 578.1676, -3.259403e-05, -3.447798e-05, -0.0002716627, 0.000186542
158, 0, 25.24916, -7.227098, 578.1679, -3.131589e-05, -3.364114e-05, -0.0002654194, 0.000181585
159, 0, 25.24918, -7.227105, 578.1684, -2.841965e-05, -3.162715e-05, -0.0002510771, 0.0001712305
160, 0, 25.2492, -7.227109, 578.1687, -2.538253e-05, -3.07684e-05, -0.0002367969, 0.0001649363
161, 0, 25.24923, -7.227117, 578.1694, -2.09174e-05, -2.876352e-05, -0.0002133736, 0.0001526267
162, 0, 25.24926, -7.227125, 578.17, -1.610875e-05, -2.734376e-05, -0.0001875956, 0.000141757
163, 0, 25.24929, -7.227133, 578.1706, -1.095591e-05, -2.581211e-05, -0.0001580773, 0.0001289193
164, 0, 25.24931, -7.227138, 578.1711, -7.999544e-06, -2.510202e-05, -0.0001405278, 0.000121694
165, 0, 25.24932, -7.227142, 578.1714, -6.491619e-06, -2.48408e-05, -0.0001291265, 0.0001163624
166, 0, 25.24933, -7.227146, 578.1717, -4.903829e-06, -2.44487e-05, -0.0001184191, 0.000111249
